timestamp,player,score
2025-09-27T23:22:34.024060100,Герой,0
2025-09-27T23:22:42.972912300,Герой,0
2025-09-27T23:29:28.596693700,Герой,0
2025-09-27T23:38:54.738353200,Герой,0
2025-09-27T23:43:33.135841900,Герой,0
2025-09-27T23:47:31.627160200,Герой,36
2025-09-27T23:49:42.256232,Герой,0
2025-09-27T23:49:44.810821,Герой,0
2025-09-27T23:53:26.760681800,Герой,0
2025-09-27T23:53:33.963156400,Герой,0
2025-09-27T23:54:40.049438400,Герой,2
2025-09-27T23:56:15.189189300,Герой,0
2025-09-27T23:56:17.922616,Герой,0
2025-09-27T23:57:02.408975200,Герой,4
2025-09-27T23:59:39.820331800,Герой,0
2025-09-27T23:59:59.441085400,Герой,2
